,empty_slots,free_bikes,latitude,longitude,name,timestamp,extra.last_updated,extra.slots
72,0,7,35.694679,139.779504,A3-44.THE WAVES AKIHABARA,2024-02-08T18:15:54.543000Z,1707416104,7
73,6,3,35.544534,139.763244,K1-138.羽田エアポートガーデン,2024-02-08T18:15:54.544000Z,1707416104,9
74,5,0,35.67011,139.733375,C3-26.ホテルリブマックス赤坂,2024-02-08T18:15:54.545000Z,1707416104,5
75,4,2,35.652549,139.747789,C1-52.NTT三田ビル,2024-02-08T18:15:54.545000Z,1707416104,6
76,4,0,35.689757,139.710091,D1-07.Dash Living Shinjuku,2024-02-08T18:15:54.546000Z,1707416104,4
77,0,5,35.690311,139.62178,O4-07.ローソン成田西三丁目店,2024-02-08T18:15:54.547000Z,1707416104,5
78,0,9,35.699187,139.82429,H1-152.コンポジット亀戸ウエスト,2024-02-08T18:15:54.548000Z,1707416104,9
79,0,37,35.71399,139.75137,E1-13.エルアージュ小石川,2024-02-08T18:15:54.549000Z,1707416104,37
80,0,62,35.65554,139.77102,B4-22.リビオレゾン勝どきNEX,2024-02-08T18:15:54.550000Z,1707416104,62
81,4,2,35.667677,139.823552,H1-176.JMFビル東陽町02,2024-02-08T18:15:54.550000Z,1707416104,6
82,0,17,35.672714,139.837914,H1-102.ファミリーマート東砂七丁目店,2024-02-08T18:15:54.551000Z,1707416104,17
83,5,1,35.642571,139.836766,H1-101.ファミリーマート新木場一丁目店,2024-02-08T18:15:54.552000Z,1707416104,6
84,0,15,35.570508,139.764013,K1-67.京浜島防災広場,2024-02-08T18:15:54.553000Z,1707416104,15
85,0,12,35.575097,139.751446,K1-66.昭和島二丁目公園,2024-02-08T18:15:54.554000Z,1707416104,12
86,4,6,35.622714,139.74471,I1-80.リバーサイド品川港南ビル,2024-02-08T18:15:54.556000Z,1707416104,10
87,5,6,35.655779,139.680948,J1-10.NTTデータ駒場研修センター,2024-02-08T18:15:54.557000Z,1707416104,11
88,8,0,35.692396,139.75639,A2-17.竹橋ビル,2024-02-08T18:15:54.557000Z,1707416104,8
89,13,5,35.696913,139.823911,H1-91.亀戸駅北口第三自転車駐車場,2024-02-08T18:15:54.558000Z,1707416104,18
